"taxon","mean_a","mean_b","log2FC","prevalence_a","prevalence_b","p","fdr","vs"
"Bifidobacterium bifidum",0.001814,0.0009054,-1.002,0.188,0.154,0.7899,1,"UC_before_great vs UC_before_poor"
"Bacteroides ovatus",0.01312,0.008956,-0.551,0.5,0.538,0.798,1,"UC_before_great vs UC_before_poor"
"Lactobacillus reuteri",0.0005141,0.0008098,0.654,0.125,0.154,0.798,1,"UC_before_great vs UC_before_poor"
"Alistipes putredinis",0.001368,0.00276,1.012,0.125,0.154,0.798,1,"UC_before_great vs UC_before_poor"
"__ __.3",0.0002239,0.000278,0.311,0.25,0.308,0.8022,1,"UC_before_great vs UC_before_poor"
"[Eubacterium] dolichum",0.001208,0.0009367,-0.366,0.188,0.231,0.8284,1,"UC_before_great vs UC_before_poor"
"__ __.9",0.0003245,0.001097,1.754,0.188,0.231,0.8284,1,"UC_before_great vs UC_before_poor"
"Lachnospira",0.00712,0.01052,0.563,0.5,0.615,0.8361,1,"UC_before_great vs UC_before_poor"
"Brevundimonas __",0.001345,0.001427,0.085,0.25,0.308,0.8455,1,"UC_before_great vs UC_before_poor"
"__ __.5",0.000123,5.45e-05,-1.16,0.125,0.154,0.8549,1,"UC_before_great vs UC_before_poor"
"unclassified f:Christensenellaceae",0.0004911,0.0008125,0.725,0.125,0.154,0.8549,1,"UC_before_great vs UC_before_poor"
"[Eubacterium] biforme",0.001222,0.004171,1.771,0.125,0.154,0.8549,1,"UC_before_great vs UC_before_poor"
"Catenibacterium",0.0002347,0.001785,2.922,0.062,0.077,0.881,1,"UC_before_great vs UC_before_poor"
"Paraprevotella",2.205e-05,0.000208,3.181,0.062,0.077,0.881,1,"UC_before_great vs UC_before_poor"
"Prevotella stercorea",4.656e-05,5.762e-05,0.302,0.062,0.077,0.881,1,"UC_before_great vs UC_before_poor"
"unclassified f:Chitinophagaceae",0.0004595,0.000414,-0.15,0.188,0.154,0.894,1,"UC_before_great vs UC_before_poor"
"Clostridium",0.003726,0.003292,-0.179,0.438,0.462,0.9234,1,"UC_before_great vs UC_before_poor"
"Eggerthella lenta",0.002037,0.001517,-0.425,0.25,0.308,0.9335,1,"UC_before_great vs UC_before_poor"
"unclassified f:Ruminococcaceae",0.002323,0.002013,-0.207,0.5,0.538,0.9443,1,"UC_before_great vs UC_before_poor"
"__ __.11",0.0005954,0.00108,0.858,0.188,0.154,0.9469,1,"UC_before_great vs UC_before_poor"
"Desulfovibrio D168",0.0002251,0.0001891,-0.25,0.062,0.077,0.9602,1,"UC_before_great vs UC_before_poor"
"Ruminococcus callidus",0.0006696,0.0005999,-0.158,0.062,0.077,0.9602,1,"UC_before_great vs UC_before_poor"
"Clostridium colinum",0.0007017,0.0001752,-1.996,0.062,0.077,0.9602,1,"UC_before_great vs UC_before_poor"
"Ruminococcus",0.003937,0.006736,0.775,0.812,0.769,0.9649,1,"UC_before_great vs UC_before_poor"
"Caulobacter",0.00138,0.001353,-0.028,0.125,0.154,0.9708,1,"UC_before_great vs UC_before_poor"
"Coprococcus catus",0.001288,0.001519,0.238,0.25,0.231,0.9767,1,"UC_before_great vs UC_before_poor"
"Butyricicoccus pullicaecorum",0.001492,0.002054,0.461,0.25,0.231,0.9767,1,"UC_before_great vs UC_before_poor"
"unclassified f:S24-7",0.0007935,0.0004505,-0.815,0.375,0.385,0.98,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium __",0.0004689,0.0003043,-0.622,0.375,0.462,0.9804,1,"UC_before_great vs UC_before_poor"
"Bifidobacterium breve",0.001352,0.0009333,-0.534,0.375,0.462,0.9804,1,"UC_before_great vs UC_before_poor"
"Bacteroides uniformis",0.009268,0.00792,-0.227,0.562,0.692,0.982,1,"UC_before_great vs UC_before_poor"
"Coprococcus",0.01251,0.0123,-0.024,0.625,0.692,0.9821,1,"UC_before_great vs UC_before_poor"
"Bacteroides",0.04125,0.03445,-0.26,0.875,0.923,0.9825,1,"UC_before_great vs UC_before_poor"
"Granulicatella",0.003927,0.004847,0.304,0.438,0.462,1,1,"UC_before_great vs UC_before_poor"
"Collinsella aerofaciens",0.008229,0.006487,-0.343,0.312,0.385,1,1,"UC_before_great vs UC_before_poor"
"Blautia producta",0.003729,0.01799,2.27,0.312,0.308,1,1,"UC_before_great vs UC_before_poor"
"Bacteroides caccae",0.002247,0.002502,0.155,0.312,0.308,1,1,"UC_before_great vs UC_before_poor"
"Lactobacillus reuteri",0.001981,0.002399,0.276,0.056,0.444,0.01495,0.6831,"IBS_after_great vs IBS_after_poor"
"SMB53",0.0002764,0.002402,3.114,0.056,0.389,0.01891,0.6831,"IBS_after_great vs IBS_after_poor"
"Abiotrophia",0,0.001187,10.214,0,0.278,0.01922,0.6831,"IBS_after_great vs IBS_after_poor"
"__ __",0.0001296,0.0003979,1.61,0.222,0.556,0.03517,0.6831,"IBS_after_great vs IBS_after_poor"
"Bulleidia moorei",0,0.0002063,7.695,0,0.222,0.03958,0.6831,"IBS_after_great vs IBS_after_poor"
"Veillonella",0.002092,0,-11.032,0.222,0,0.03958,0.6831,"IBS_after_great vs IBS_after_poor"
"Veillonella parvula",0.0004031,0.002877,2.832,0.111,0.389,0.04362,0.6831,"IBS_after_great vs IBS_after_poor"
"__ __.4",3.267e-05,0.0003771,3.489,0.056,0.333,0.0464,0.6831,"IBS_after_great vs IBS_after_poor"
"Ruminococcus callidus",0.001054,0.0003845,-1.453,0.333,0.056,0.05741,0.6831,"IBS_after_great vs IBS_after_poor"
"Veillonella dispar",0.00303,0.00806,1.411,0.333,0.611,0.06689,0.6831,"IBS_after_great vs IBS_after_poor"
"Veillonella __",0.0006428,0.006231,3.275,0.222,0.444,0.07327,0.6831,"IBS_after_great vs IBS_after_poor"
"Coprococcus",0.005186,0.009205,0.828,0.5,0.778,0.07737,0.6831,"IBS_after_great vs IBS_after_poor"
"Lactobacillus",0.004822,0.02447,2.343,0.778,0.944,0.07871,0.6831,"IBS_after_great vs IBS_after_poor"
"unclassified f:Peptostreptococcaceae",1.532e-05,0.002052,6.975,0.056,0.278,0.07936,0.6831,"IBS_after_great vs IBS_after_poor"
"CF231",0,8.078e-05,6.354,0,0.167,0.08033,0.6831,"IBS_after_great vs IBS_after_poor"
"__ __.8",2.802e-05,0.0001361,2.24,0.111,0.389,0.08426,0.6831,"IBS_after_great vs IBS_after_poor"
"Granulicatella",0.0009447,0.003232,1.774,0.333,0.556,0.08539,0.6831,"IBS_after_great vs IBS_after_poor"
"Ruminococcus bromii",0.01726,0.004099,-2.073,0.722,0.556,0.09513,0.6994,"IBS_after_great vs IBS_after_poor"
"Dorea",0.0154,0.006854,-1.168,0.722,0.389,0.09771,0.6994,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium",0.02824,0.05732,1.021,0.556,0.778,0.1257,0.791,"IBS_after_great vs IBS_after_poor"
"Clostridium __",0.002662,0.004195,0.656,0.222,0.444,0.1267,0.791,"IBS_after_great vs IBS_after_poor"
"__ __.2",0.0199,0.0336,0.755,0.833,1,0.1328,0.791,"IBS_after_great vs IBS_after_poor"
"Coprococcus eutactus",0.0001688,0.002252,3.73,0.056,0.222,0.1338,0.791,"IBS_after_great vs IBS_after_poor"
"Bacteroides plebeius",0.007374,0.006192,-0.252,0.222,0.556,0.1448,0.8203,"IBS_after_great vs IBS_after_poor"
"Eggerthella lenta",0.0004695,0.000898,0.934,0.167,0.389,0.1608,0.822,"IBS_after_great vs IBS_after_poor"
"Prevotella",0.0001061,0,-6.743,0.111,0,0.1632,0.822,"IBS_after_great vs IBS_after_poor"
"Clostridium neonatale",0,0.0003568,8.483,0,0.111,0.1632,0.822,"IBS_after_great vs IBS_after_poor"
"Bacteroides ovatus",0.004571,0.005815,0.347,0.722,0.333,0.1756,0.8529,"IBS_after_great vs IBS_after_poor"
"unclassified o:Streptophyta",0.00172,0.0005764,-1.576,0.111,0.333,0.1849,0.8603,"IBS_after_great vs IBS_after_poor"
"Blautia obeum",0.0006087,0.002391,1.972,0.111,0.278,0.208,0.8603,"IBS_after_great vs IBS_after_poor"
"unclassified o:Clostridiales",0.003928,0.00615,0.647,0.556,0.722,0.2122,0.8603,"IBS_after_great vs IBS_after_poor"
"__ __.12",0.00205,0.006026,1.555,0.278,0.444,0.2178,0.8603,"IBS_after_great vs IBS_after_poor"
"Ruminococcus __",0.000231,0.0009681,2.063,0.167,0.333,0.2197,0.8603,"IBS_after_great vs IBS_after_poor"
"Streptococcus __",0.001057,0.003517,1.734,0.167,0.333,0.2197,0.8603,"IBS_after_great vs IBS_after_poor"
"Rothia mucilaginosa",0.003657,0.005954,0.703,0.333,0.611,0.224,0.8603,"IBS_after_great vs IBS_after_poor"
"unclassified f:Clostridiaceae",0.001536,0.007665,2.318,0.333,0.444,0.2277,0.8603,"IBS_after_great vs IBS_after_poor"
"Parabacteroides distasonis",0.006895,0.005541,-0.315,0.722,0.5,0.2676,0.9648,"IBS_after_great vs IBS_after_poor"
"Prevotella stercorea",4.834e-05,0.002448,5.633,0.056,0.167,0.2707,0.9648,"IBS_after_great vs IBS_after_poor"
"Lactobacillus zeae",0.0004084,6.479e-05,-2.638,0.167,0.056,0.2967,0.9648,"IBS_after_great vs IBS_after_poor"
"Bacteroides caccae",0.001462,0.002086,0.512,0.111,0.278,0.3029,0.9648,"IBS_after_great vs IBS_after_poor"
"Coprococcus catus",0.0008125,0.001525,0.908,0.167,0.333,0.3081,0.9648,"IBS_after_great vs IBS_after_poor"
"Streptococcus",0.01952,0.01853,-0.075,0.778,0.833,0.3172,0.9648,"IBS_after_great vs IBS_after_poor"
"Clostridium",0.01324,0.00779,-0.765,0.667,0.611,0.3391,0.9648,"IBS_after_great vs IBS_after_poor"
"Sphingomonas yabuuchiae",0.0006259,0.002006,1.678,0.333,0.444,0.34,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified c:TM7-3",0.000106,0.001727,4.013,0.111,0.222,0.342,0.9648,"IBS_after_great vs IBS_after_poor"
"__ __.9",0.000252,0.001041,2.042,0.111,0.222,0.342,0.9648,"IBS_after_great vs IBS_after_poor"
"Roseburia",0.009986,0.003947,-1.339,0.389,0.556,0.3462,0.9648,"IBS_after_great vs IBS_after_poor"
"Lactobacillus salivarius",0.00184,0.0006954,-1.403,0.056,0.167,0.3536,0.9648,"IBS_after_great vs IBS_after_poor"
"__ __.11",0.0003964,0.0002339,-0.759,0.056,0.167,0.3536,0.9648,"IBS_after_great vs IBS_after_poor"
"Megasphaera",0.00832,0.003472,-1.261,0.444,0.333,0.3585,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Christensenellaceae",0.002429,0.001028,-1.239,0.333,0.222,0.3673,0.9648,"IBS_after_great vs IBS_after_poor"
"Bacteroides __",0.002566,0.005413,1.077,0.389,0.5,0.385,0.9648,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium adolescentis",0.04998,0.05849,0.227,0.444,0.667,0.3983,0.9648,"IBS_after_great vs IBS_after_poor"
"Actinomyces",0.005177,0.008023,0.632,0.611,0.722,0.4019,0.9648,"IBS_after_great vs IBS_after_poor"
"Sutterella",0.008518,0.009368,0.137,0.556,0.722,0.4086,0.9648,"IBS_after_great vs IBS_after_poor"
"Alistipes putredinis",0.004402,0.00165,-1.415,0.278,0.167,0.4088,0.9648,"IBS_after_great vs IBS_after_poor"
"Roseburia __",0.02138,0.02707,0.34,0.667,0.833,0.4162,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:[Mogibacteriaceae]",0.001852,0.001468,-0.336,0.333,0.5,0.4475,0.9648,"IBS_after_great vs IBS_after_poor"
"Ruminococcus",0.007684,0.01015,0.401,0.667,0.833,0.4537,0.9648,"IBS_after_great vs IBS_after_poor"
"Odoribacter",0.000865,0.0005685,-0.605,0.278,0.167,0.4599,0.9648,"IBS_after_great vs IBS_after_poor"
"Paraprevotella",0.002705,0.00177,-0.611,0.278,0.167,0.4599,0.9648,"IBS_after_great vs IBS_after_poor"
"Megamonas",0.04614,0.006319,-2.868,0.444,0.333,0.4604,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Erysipelotrichaceae",0.01281,0.02377,0.892,0.667,0.722,0.4702,0.9648,"IBS_after_great vs IBS_after_poor"
"Bacteroides fragilis",0.002337,0.001739,-0.426,0.389,0.278,0.4737,0.9648,"IBS_after_great vs IBS_after_poor"
"[Eubacterium] biforme",0.002746,0.003328,0.277,0.222,0.111,0.4798,0.9648,"IBS_after_great vs IBS_after_poor"
"Dorea formicigenerans",0.006166,0.007978,0.372,0.556,0.667,0.4833,0.9648,"IBS_after_great vs IBS_after_poor"
"Clostridium colinum",0.00137,0.0002986,-2.194,0.222,0.167,0.5067,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:S24-7",0.0003105,0.001132,1.863,0.389,0.444,0.5133,0.9648,"IBS_after_great vs IBS_after_poor"
"Pseudomonas __",0.00141,0.001164,-0.277,0.278,0.167,0.5144,0.9648,"IBS_after_great vs IBS_after_poor"
"Akkermansia muciniphila",0.03814,0.04011,0.073,0.833,0.833,0.5259,0.9648,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium breve",0.00061,0.001135,0.895,0.222,0.333,0.5346,0.9648,"IBS_after_great vs IBS_after_poor"
"Clostridium ramosum",0.002353,0.001194,-0.977,0.167,0.278,0.5428,0.9648,"IBS_after_great vs IBS_after_poor"
"Lachnospira",0.009232,0.007527,-0.294,0.5,0.667,0.5434,0.9648,"IBS_after_great vs IBS_after_poor"
"Blautia producta",0.001745,0.0005573,-1.645,0.222,0.167,0.5671,0.9648,"IBS_after_great vs IBS_after_poor"
"Lactobacillus __",0.001104,0.001537,0.477,0.333,0.278,0.5738,0.9648,"IBS_after_great vs IBS_after_poor"
"Atopobium",8.209e-05,0.0006496,2.969,0.056,0.111,0.5748,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Desulfovibrionaceae",0.000191,6.488e-05,-1.543,0.111,0.056,0.5748,0.9648,"IBS_after_great vs IBS_after_poor"
"Lactobacillus helveticus",0.0003922,0.001068,1.443,0.111,0.167,0.5807,0.9648,"IBS_after_great vs IBS_after_poor"
"Dorea longicatena",0.0003677,0.0009387,1.35,0.167,0.222,0.5985,0.9648,"IBS_after_great vs IBS_after_poor"
"Anaerostipes",0.001312,0.001977,0.592,0.333,0.222,0.6165,0.9648,"IBS_after_great vs IBS_after_poor"
"Desulfovibrio D168",0.0001892,0.00122,2.683,0.111,0.167,0.6172,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Gemellaceae",0.0001119,0.0006033,2.42,0.111,0.167,0.6172,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Chitinophagaceae",9.87e-05,0.0001184,0.26,0.056,0.111,0.6206,0.9648,"IBS_after_great vs IBS_after_poor"
"Parabacteroides",0.002521,0.002521,0,0.444,0.333,0.6269,0.9648,"IBS_after_great vs IBS_after_poor"
"__ __.3",0.0001019,0.0001758,0.781,0.167,0.222,0.6307,0.9648,"IBS_after_great vs IBS_after_poor"
"Faecalibacterium __",0.000167,0.0001693,0.02,0.222,0.167,0.6307,0.9648,"IBS_after_great vs IBS_after_poor"
"Collinsella aerofaciens",0.01822,0.006385,-1.513,0.556,0.611,0.6339,0.9648,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium __",0.00195,0.0004894,-1.992,0.556,0.5,0.6516,0.9648,"IBS_after_great vs IBS_after_poor"
"__ __.10",9.806e-05,0.0001153,0.231,0.167,0.111,0.6547,0.9648,"IBS_after_great vs IBS_after_poor"
"Turicibacter",0.003064,0.004671,0.608,0.222,0.278,0.6622,0.9648,"IBS_after_great vs IBS_after_poor"
"Clostridium spiroforme",0.0008378,0.0001822,-2.195,0.222,0.167,0.6636,0.9648,"IBS_after_great vs IBS_after_poor"
"Prevotella copri",0.04184,0.03329,-0.33,0.5,0.333,0.6845,0.9648,"IBS_after_great vs IBS_after_poor"
"Pseudomonas viridiflava",0.003764,0.003415,-0.14,0.5,0.333,0.6845,0.9648,"IBS_after_great vs IBS_after_poor"
"Butyricimonas",0.000432,0.0004499,0.058,0.167,0.111,0.6932,0.9648,"IBS_after_great vs IBS_after_poor"
"Hydrogenophaga __",0.0003962,0.0002642,-0.583,0.167,0.111,0.6932,0.9648,"IBS_after_great vs IBS_after_poor"
"Lactobacillus mucosae",0.001088,0.0007426,-0.55,0.167,0.111,0.6932,0.9648,"IBS_after_great vs IBS_after_poor"
"Bilophila",0.001535,0.002258,0.556,0.278,0.333,0.7125,0.9648,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium animalis",0.0007462,0.0008478,0.184,0.222,0.278,0.7236,0.9648,"IBS_after_great vs IBS_after_poor"
"Dialister",0.01827,0.0254,0.476,0.833,0.833,0.7272,0.9648,"IBS_after_great vs IBS_after_poor"
"[Ruminococcus] gnavus",0.02501,0.007679,-1.703,0.611,0.556,0.7302,0.9648,"IBS_after_great vs IBS_after_poor"
"[Eubacterium] dolichum",0.001836,0.0002404,-2.928,0.222,0.167,0.7313,0.9648,"IBS_after_great vs IBS_after_poor"
"Klebsiella __",0.005365,0.006937,0.371,0.222,0.167,0.7313,0.9648,"IBS_after_great vs IBS_after_poor"
"Brevundimonas __",0.0006381,0.0008207,0.363,0.167,0.111,0.7324,0.9648,"IBS_after_great vs IBS_after_poor"
"unclassified f:Lachnospiraceae",0.01771,0.02008,0.181,0.667,0.833,0.7378,0.9648,"IBS_after_great vs IBS_after_poor"
"Desulfovibrio",0.001168,0.001295,0.149,0.333,0.389,0.7545,0.9772,"IBS_after_great vs IBS_after_poor"
"Desulfovibrio C21_c20",0.0005438,0.0005558,0.031,0.278,0.333,0.7711,0.9816,"IBS_after_great vs IBS_after_poor"
"Holdemania",0.0003803,0.0007574,0.992,0.167,0.111,0.7723,0.9816,"IBS_after_great vs IBS_after_poor"
"unclassified f:Rikenellaceae",0.001825,0.002641,0.533,0.333,0.389,0.7826,0.9818,"IBS_after_great vs IBS_after_poor"
"Acinetobacter rhizosphaerae",0.0007038,0.0008501,0.272,0.222,0.278,0.7868,0.9818,"IBS_after_great vs IBS_after_poor"
"Gemmiger formicilis",0.01937,0.01393,-0.475,0.556,0.778,0.8089,0.9973,"IBS_after_great vs IBS_after_poor"
"__ __.6",0.1663,0.1509,-0.14,0.944,1,0.8147,0.9973,"IBS_after_great vs IBS_after_poor"
"unclassified f:Coriobacteriaceae",0.005217,0.00221,-1.239,0.444,0.444,0.8213,0.9973,"IBS_after_great vs IBS_after_poor"
"Weissella __",0.002562,0.0007348,-1.8,0.167,0.222,0.8368,0.9998,"IBS_after_great vs IBS_after_poor"
"Hydrogenophaga palleronii",0.002892,0.001822,-0.666,0.278,0.278,0.8412,0.9998,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium bifidum",0.001098,0.0005842,-0.909,0.167,0.167,0.8454,0.9998,"IBS_after_great vs IBS_after_poor"
"__ __.1",0.03328,0.0406,0.287,0.889,1,0.8618,1,"IBS_after_great vs IBS_after_poor"
"unclassified f:Ruminococcaceae",0.006616,0.005847,-0.178,0.611,0.611,0.8705,1,"IBS_after_great vs IBS_after_poor"
"[Ruminococcus] torques",0.002421,0.003132,0.371,0.278,0.278,0.8727,1,"IBS_after_great vs IBS_after_poor"
"Blautia",0.01799,0.01624,-0.148,0.778,0.944,0.8866,1,"IBS_after_great vs IBS_after_poor"
"Caulobacter",0.0008126,0.001023,0.332,0.222,0.167,0.9089,1,"IBS_after_great vs IBS_after_poor"
"__ __.7",0.0115,0.00991,-0.214,0.667,0.833,0.9111,1,"IBS_after_great vs IBS_after_poor"
"Enterococcus",0.001985,0.0007399,-1.423,0.167,0.167,0.9224,1,"IBS_after_great vs IBS_after_poor"
"Bacteroides uniformis",0.004735,0.004517,-0.068,0.444,0.444,0.9308,1,"IBS_after_great vs IBS_after_poor"
"Haemophilus parainfluenzae",0.008305,0.01076,0.373,0.611,0.5,0.9472,1,"IBS_after_great vs IBS_after_poor"
"unclassified f:Caulobacteraceae",0.001088,0.001239,0.188,0.222,0.222,0.948,1,"IBS_after_great vs IBS_after_poor"
"Faecalibacterium prausnitzii",0.04474,0.04029,-0.151,0.833,0.833,0.9494,1,"IBS_after_great vs IBS_after_poor"
"__ __.5",8.166e-05,4.242e-05,-0.929,0.167,0.167,0.9611,1,"IBS_after_great vs IBS_after_poor"
"Bifidobacterium longum",0.01284,0.01455,0.181,0.722,0.833,0.9746,1,"IBS_after_great vs IBS_after_poor"
"Butyricicoccus pullicaecorum",7.384e-05,0.0001171,0.658,0.111,0.111,0.9769,1,"IBS_after_great vs IBS_after_poor"
"[Ruminococcus]",0.009255,0.01162,0.328,0.444,0.556,0.9865,1,"IBS_after_great vs IBS_after_poor"
"Bacteroides",0.02656,0.01809,-0.554,0.611,0.778,0.9872,1,"IBS_after_great vs IBS_after_poor"
"Oscillospira",0.007825,0.01169,0.579,0.778,0.722,0.9873,1,"IBS_after_great vs IBS_after_poor"
"Phascolarctobacterium",0.01246,0.01062,-0.23,0.556,0.611,1,1,"IBS_after_great vs IBS_after_poor"
"Catenibacterium",0.01637,0.005207,-1.653,0.222,0.222,1,1,"IBS_after_great vs IBS_after_poor"
"Fusobacterium",0.0001248,5.734e-05,-1.109,0.056,0.056,1,1,"IBS_after_great vs IBS_after_poor"
"Clostridium citroniae",0.001068,0.001187,0.153,0.111,0.111,1,1,"IBS_after_great vs IBS_after_poor"
"Streptococcus __",0.002741,4.736e-05,-5.825,0.5,0.077,0.01496,0.8378,"UC_after_great vs UC_after_poor"
"Parabacteroides",0,0.0147,13.844,0,0.308,0.02125,0.8378,"UC_after_great vs UC_after_poor"
"Abiotrophia",0.001085,0,-10.085,0.312,0,0.03306,0.8378,"UC_after_great vs UC_after_poor"
"Bacteroides uniformis",0.002537,0.007531,1.569,0.188,0.615,0.03934,0.8378,"UC_after_great vs UC_after_poor"
"Desulfovibrio",0.0004556,0.002086,2.193,0.125,0.462,0.04219,0.8378,"UC_after_great vs UC_after_poor"
"Hydrogenophaga __",0.0004139,0,-8.697,0.25,0,0.06221,0.8378,"UC_after_great vs UC_after_poor"
"Bacteroides",0.01556,0.05768,1.89,0.875,0.846,0.08286,0.8378,"UC_after_great vs UC_after_poor"
"__ __.7",0.003348,0.01279,1.933,0.688,0.769,0.08395,0.8378,"UC_after_great vs UC_after_poor"
"Veillonella dispar",0.00178,0.007808,2.132,0.375,0.615,0.08472,0.8378,"UC_after_great vs UC_after_poor"
"Bifidobacterium __",0.001072,0.0004859,-1.14,0.625,0.308,0.0936,0.8378,"UC_after_great vs UC_after_poor"
"Klebsiella __",0.001126,0.00443,1.975,0.125,0.385,0.1217,0.8378,"UC_after_great vs UC_after_poor"
"__ __.5",0,6.012e-05,5.933,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"__ __.9",0,0.0001919,7.592,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"Odoribacter",0,0.0005828,9.189,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"Ruminococcus callidus",0,6e-04,9.231,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"Bacteroides caccae",0,0.0007421,9.537,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"[Ruminococcus] torques",0,0.002068,11.015,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"Veillonella",0,0.01432,13.806,0,0.154,0.1219,0.8378,"UC_after_great vs UC_after_poor"
"Lactobacillus salivarius",0.0005081,0.001152,1.18,0.062,0.308,0.1255,0.8378,"UC_after_great vs UC_after_poor"
"Clostridium ramosum",0.00474,0.004127,-0.2,0.625,0.231,0.13,0.8378,"UC_after_great vs UC_after_poor"
"Gemmiger formicilis",0.00381,0.009522,1.321,0.312,0.538,0.1346,0.8378,"UC_after_great vs UC_after_poor"
"unclassified f:Gemellaceae",0.0004968,0.0003881,-0.355,0.312,0.077,0.1831,0.8378,"UC_after_great vs UC_after_poor"
"Bifidobacterium",0.2654,0.1444,-0.879,0.938,0.923,0.1883,0.8378,"UC_after_great vs UC_after_poor"
"Turicibacter",0.002795,9.647e-05,-4.842,0.25,0.077,0.194,0.8378,"UC_after_great vs UC_after_poor"
"__ __.6",0.1185,0.1717,0.535,0.938,1,0.1991,0.8378,"UC_after_great vs UC_after_poor"
"Eggerthella lenta",0.0006633,0.0024,1.854,0.312,0.538,0.2109,0.8378,"UC_after_great vs UC_after_poor"
"Granulicatella",0.002204,0.00226,0.036,0.562,0.308,0.2114,0.8378,"UC_after_great vs UC_after_poor"
"Clostridium spiroforme",0.00108,0,-10.078,0.125,0,0.2122,0.8378,"UC_after_great vs UC_after_poor"
"Parabacteroides distasonis",0.004327,0.006185,0.515,0.438,0.692,0.2232,0.8378,"UC_after_great vs UC_after_poor"
"Megasphaera",0.0004179,0.00445,3.409,0.25,0.385,0.2289,0.8378,"UC_after_great vs UC_after_poor"
"Bifidobacterium animalis",0.0004904,0.001477,1.589,0.375,0.154,0.2314,0.8378,"UC_after_great vs UC_after_poor"
"Ruminococcus",0.002663,0.008165,1.616,0.688,0.769,0.2315,0.8378,"UC_after_great vs UC_after_poor"
"unclassified o:Streptophyta",0.0009709,0.0001692,-2.514,0.25,0.077,0.2438,0.8378,"UC_after_great vs UC_after_poor"
"Bacteroides __",0.0007224,0.02177,4.911,0.312,0.462,0.2477,0.8378,"UC_after_great vs UC_after_poor"
"[Ruminococcus] gnavus",0.01798,0.01696,-0.085,0.812,0.615,0.2493,0.8378,"UC_after_great vs UC_after_poor"
"Lactobacillus helveticus",0.007521,0.007067,-0.09,0.375,0.154,0.2538,0.8378,"UC_after_great vs UC_after_poor"
"Veillonella __",0.001696,0.003719,1.132,0.188,0.385,0.2538,0.8378,"UC_after_great vs UC_after_poor"
"unclassified f:Lachnospiraceae",0.007254,0.008864,0.289,0.438,0.692,0.2601,0.8378,"UC_after_great vs UC_after_poor"
"__ __.8",0.0002821,0.0001862,-0.597,0.25,0.077,0.2718,0.8378,"UC_after_great vs UC_after_poor"
"Desulfovibrio C21_c20",0.0004498,0.0001564,-1.518,0.25,0.077,0.2718,0.8378,"UC_after_great vs UC_after_poor"
"Rothia mucilaginosa",0.002153,0.003199,0.571,0.562,0.385,0.2879,0.8378,"UC_after_great vs UC_after_poor"
"Roseburia __",0.01167,0.03514,1.59,0.562,0.692,0.2893,0.8378,"UC_after_great vs UC_after_poor"
"Blautia producta",0.009409,0.004129,-1.188,0.562,0.308,0.2903,0.8378,"UC_after_great vs UC_after_poor"
"Clostridium",0.003185,0.002722,-0.227,0.312,0.538,0.2915,0.8378,"UC_after_great vs UC_after_poor"
"Dialister",0.01066,0.01208,0.181,0.625,0.846,0.2977,0.8378,"UC_after_great vs UC_after_poor"
"Butyricimonas",0,0.0001769,7.475,0,0.077,0.2983,0.8378,"UC_after_great vs UC_after_poor"
"unclassified f:Peptostreptococcaceae",0,3.168e-05,5.03,0,0.077,0.2983,0.8378,"UC_after_great vs UC_after_poor"
"Ruminococcus bromii",0.003044,0.003637,0.257,0.375,0.538,0.3245,0.8923,"UC_after_great vs UC_after_poor"
"Faecalibacterium prausnitzii",0.06718,0.03046,-1.141,0.875,0.692,0.3437,0.8951,"UC_after_great vs UC_after_poor"
"unclassified f:Coriobacteriaceae",0.0006092,0.001959,1.684,0.188,0.308,0.3501,0.8951,"UC_after_great vs UC_after_poor"
"Coprococcus catus",0.0006955,0.001986,1.513,0.188,0.308,0.3501,0.8951,"UC_after_great vs UC_after_poor"
"Actinomyces",0.01067,0.01068,0.002,0.812,0.692,0.3653,0.8951,"UC_after_great vs UC_after_poor"
"Megamonas",0.005485,0.02568,2.227,0.438,0.538,0.3822,0.8951,"UC_after_great vs UC_after_poor"
