feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2900079G21Rik,2900079G21Rik,4.7195,-0.1151,0.6245,-0.1843,0.8538,1
2900097C17Rik,2900097C17Rik,6105.6104,0.1113,0.1693,0.6571,0.5111,1
3000002C10Rik,3000002C10Rik,64.4526,0.0896,0.2482,0.3608,0.7182,1
3010001F23Rik,3010001F23Rik,16.7766,0.0398,0.3692,0.1077,0.9142,1
3010026O09Rik,3010026O09Rik,216.7655,0.0163,0.1232,0.1319,0.895,1
3110001I22Rik,3110001I22Rik,122.2312,-0.0148,0.1728,-0.0858,0.9316,1
3110002H16Rik,3110002H16Rik,958.1394,0.0358,0.1155,0.3104,0.7562,1
3110009E18Rik,3110009E18Rik,89.1372,-0.0056,0.1586,-0.035,0.9721,1
3110015C05Rik,3110015C05Rik,0.5235,-1.3525,2.0033,-0.6751,0.4996,1
3110021A11Rik,3110021A11Rik,4.767,0.7321,0.7816,0.9366,0.349,1
3110021N24Rik,3110021N24Rik,36.4928,-0.0002,0.2365,-0.001,0.9992,1
3110035E14Rik,3110035E14Rik,2.5298,-0.0292,1.0126,-0.0289,0.977,1
3110039I08Rik,3110039I08Rik,865.6771,0.4021,0.2191,1.8355,0.0664,1
3110040N11Rik,3110040N11Rik,375.4768,-0.0113,0.1232,-0.0917,0.9269,1
3110043O21Rik,3110043O21Rik,1085.7444,0.121,0.0829,1.46,0.1443,1
3110045C21Rik,3110045C21Rik,3.3633,0.2705,0.7729,0.35,0.7263,1
3110052M02Rik,3110052M02Rik,12.9682,0.1537,0.419,0.3668,0.7138,1
3110056K07Rik,3110056K07Rik,58.8957,0.3164,0.2917,1.0848,0.278,1
3110057O12Rik,3110057O12Rik,126.7048,0.3451,0.219,1.5761,0.115,1
3110062M04Rik,3110062M04Rik,140.4536,-0.0623,0.1658,-0.376,0.7069,1
3110070M22Rik,3110070M22Rik,3.987,0.5818,0.6805,0.8549,0.3926,1
3110082I17Rik,3110082I17Rik,525.7746,0.0608,0.136,0.4465,0.6552,1
3110082J24Rik,3110082J24Rik,1.7713,0.0084,1.345,0.0063,0.995,1
3200001D21Rik,3200001D21Rik,20.4802,0.4494,0.3501,1.2835,0.1993,1
3300002I08Rik,3300002I08Rik,29.1956,0.1519,0.2829,0.537,0.5913,1
3300002P13Rik,3300002P13Rik,23.8019,0.2854,0.41,0.6963,0.4862,1
3300005D01Rik,3300005D01Rik,919.3592,0.0007,0.1595,0.0041,0.9967,1
3425401B19Rik,3425401B19Rik,41.5497,0.1764,0.2265,0.7785,0.4363,1
3632451O06Rik,3632451O06Rik,34.4974,0.4555,0.3247,1.4031,0.1606,1
3830403N18Rik,3830403N18Rik,910.8879,0.3224,0.1689,1.9089,0.0563,1
3830406C13Rik,3830406C13Rik,461.9859,0.1241,0.112,1.1081,0.2678,1
3830408C21Rik,3830408C21Rik,16.4932,-0.2714,0.3582,-0.7575,0.4487,1
3830417A13Rik,3830417A13Rik,15.1039,0.2977,0.4667,0.6379,0.5235,1
3830432H09Rik,3830432H09Rik,1.3699,-1.0356,1.2537,-0.8261,0.4088,1
3930402G23Rik,3930402G23Rik,1.763,0.3079,1.3301,0.2315,0.8169,1
4430402I18Rik,4430402I18Rik,4.0144,1.1793,0.7647,1.542,0.1231,1
4631405J19Rik,4631405J19Rik,9.5312,0.1799,0.5365,0.3353,0.7374,1
4632404H12Rik,4632404H12Rik,62.6168,0.2383,0.2181,1.093,0.2744,1
4632415L05Rik,4632415L05Rik,576.8106,0.2736,0.1673,1.6352,0.102,1
4632427E13Rik,4632427E13Rik,6.544,-0.1141,0.6275,-0.1818,0.8558,1
4632428C04Rik,4632428C04Rik,7.8752,-0.0636,0.4853,-0.1311,0.8957,1
4632428N05Rik,4632428N05Rik,2127.6678,-0.0361,0.2275,-0.1587,0.8739,1
4732471J01Rik,4732471J01Rik,9.7465,-0.3146,0.5132,-0.6129,0.5399,1
4732491K20Rik,4732491K20Rik,55.5487,-0.139,0.2329,-0.5969,0.5506,1
4831440E17Rik,4831440E17Rik,16.2533,0.4196,0.428,0.9806,0.3268,1
4833415N18Rik,4833415N18Rik,99.3838,-0.132,0.258,-0.5115,0.609,1
4833417C18Rik,4833417C18Rik,9.3371,0.131,0.5578,0.2348,0.8143,1
4833418N02Rik,4833418N02Rik,71.8461,0.1955,0.1805,1.0835,0.2786,1
4833419F23Rik,4833419F23Rik,17.6415,0.0499,0.4443,0.1124,0.9105,1
4833420G17Rik,4833420G17Rik,355.1044,0.1911,0.1143,1.6724,0.0944,1
4833422C13Rik,4833422C13Rik,33.6121,0.2476,0.4503,0.5499,0.5824,1
4833427F10Rik,4833427F10Rik,0.7438,0.3922,1.6245,0.2414,0.8092,1
4833427G06Rik,4833427G06Rik,104.9222,0.2324,0.1721,1.35,0.177,1
4833439L19Rik,4833439L19Rik,6435.6184,-0.0487,0.0598,-0.8146,0.4153,1
4921507L20Rik,4921507L20Rik,25.1943,0.5832,0.2861,2.0388,0.0415,1
4921507P07Rik,4921507P07Rik,0.7357,-1.0186,1.699,-0.5996,0.5488,1
4921509O07Rik,4921509O07Rik,0.5316,-0.4928,1.7914,-0.2751,0.7833,1
4921511C10Rik,4921511C10Rik,1.6746,-0.6967,1.0787,-0.6458,0.5184,1
4921513I03Rik,4921513I03Rik,2.5057,0.4874,0.9329,0.5225,0.6013,1
4921524J17Rik,4921524J17Rik,1594.4518,0.3324,0.1243,2.6743,0.0075,1
4921525O09Rik,4921525O09Rik,85.8808,-0.3317,0.2057,-1.6123,0.1069,1
4921531C22Rik,4921531C22Rik,40.7465,0.007,0.2247,0.0312,0.9751,1
4921536K21Rik,4921536K21Rik,54.716,0.047,0.2149,0.2189,0.8267,1
4930402H24Rik,4930402H24Rik,1184.2189,0.0045,0.0918,0.0488,0.9611,1
4930404H11Rik,4930404H11Rik,2.3271,-0.4405,0.9738,-0.4524,0.651,1
4930404I05Rik,4930404I05Rik,16.5109,0.6786,0.3766,1.8019,0.0716,1
4930404N11Rik,4930404N11Rik,415.457,0.0689,0.1505,0.4578,0.6471,1
4930405A21Rik,4930405A21Rik,10.7741,-0.2967,0.5007,-0.5925,0.5535,1
4930405O22Rik,4930405O22Rik,1.5662,-0.3833,1.1201,-0.3422,0.7322,1
4930407I10Rik,4930407I10Rik,0.937,-0.3863,1.6215,-0.2382,0.8117,1
