"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Enpp2","Enpp2",2111.14673440302,1.35654236093109,0.363720605004608,3.72962747302674,0.000191763073876892,0.00503919034796727,"Up"
"Ero1l","Ero1l",3585.19692809135,1.35350680564927,0.252806872563948,5.35391618084628,8.60707425671329e-08,6.45865288807925e-05,"Up"
"1500015O10Rik","1500015O10Rik",31.6882096633177,-1.34651413446554,0.493226926243784,-2.73000937868507,0.00633325237753675,0.0427978313444334,"Down"
"Ier3","Ier3",3746.13627062464,1.34524248501884,0.385655774239702,3.48819484855609,0.000486293555385553,0.00854143960025053,"Up"
"Gpnmb","Gpnmb",77.7612828849096,1.34213035717082,0.359992583909379,3.72821668323221,0.000192839541272222,0.00505747040475016,"Up"
"Steap4","Steap4",699.927427712532,1.33986955175313,0.295014065858059,4.54171413100618,5.57986709339226e-06,0.000697845044726382,"Up"
"Cd33","Cd33",22.2366238699664,1.33802314907642,0.486053126197144,2.75283313070127,0.00590820024045787,0.0410715700709544,"Up"
"Smoc2","Smoc2",918.608255820402,-1.33397459497402,0.444097902885196,-3.00378494540847,0.00266643728469059,0.02497612233309,"Down"
"Cxcl10","Cxcl10",104.277481980568,1.33360649936443,0.252182226115205,5.28826523545396,1.23481839175778e-07,7.25160522498798e-05,"Up"
"Rmi2","Rmi2",45.5483075660173,-1.32446344049309,0.385630269735776,-3.43454221423173,0.00059355561407694,0.0097177644598027,"Down"
"Gjb5","Gjb5",105.781968488412,-1.31818667324618,0.441071911871605,-2.98859808971446,0.00280260523829286,0.0256358199222812,"Down"
"Cyp2f2","Cyp2f2",84.1643249764564,1.30597886637126,0.434717490851566,3.00420133501642,0.00266279051160053,0.0249592723387844,"Up"
"Cgn","Cgn",19.6188841067861,-1.30455331691486,0.455248738212332,-2.86558359730457,0.00416241355976185,0.0326987683383565,"Down"
"Gm9992","Gm9992",145.964370713454,1.3024489652501,0.302947130267932,4.29926160415579,1.71368098358378e-05,0.00134733675963743,"Up"
"Padi3","Padi3",105.765818511506,-1.3017498443169,0.388837783047479,-3.34779669330116,0.000814567442695048,0.011817789955405,"Down"
"Ccl5","Ccl5",85.3043134149088,1.30005186238431,0.36375146965567,3.57401129846965,0.000351553749491997,0.00717588080134154,"Up"
