"sample","Axis1","Axis2","group","method"
"J_XYL_F_0045_2",0.0482525433362743,-0.233530124554943,"IBS_after","NMDS"
"J_XYL_F_0046_01",0.243295259472681,-0.159863783750692,"IBS_before","NMDS"
"J_XYL_F_0046_02",0.256203863452716,0.0505364062736873,"IBS_after","NMDS"
"J_XYL_F_0047_01",-0.0645080140401357,-0.0892708323298426,"IBS_before","NMDS"
"J_XYL_F_0047_02",0.545307536718044,-0.143925685085075,"IBS_after","NMDS"
"J_XYL_F_0048_01",-0.239300385675473,-0.481494387559021,"IBS_before","NMDS"
"J_XYL_F_0049_02",0.335338965212279,0.0890531565537128,"IBS_after","NMDS"
"J_XYL_F_0050_01",-0.221593937838913,-0.363491454044274,"IBS_before","NMDS"
"J_XYL_F_0050_02",-1.81977658737429,0.296238730591556,"IBS_after","NMDS"
"J_XYL_F_0051_01",-0.719933239200693,-0.0613415298532264,"IBS_before","NMDS"
"J_XYL_F_0051_02",0.453665626703448,0.295648819003121,"IBS_after","NMDS"
"J_XYL_F_0053_01",0.370572668770465,-0.185596376013221,"IBS_before","NMDS"
"J_XYL_F_0053_02",0.26855771095062,-0.0183890412416372,"IBS_after","NMDS"
"J_XYL_F_0057_01",-0.922396408264283,0.182929478886453,"IBS_before","NMDS"
"J_XYL_F_0057_02",0.0878012649637984,0.103522948388182,"IBS_after","NMDS"
"J_XYL_F_0058_01",-0.607736811298496,-0.145230145426746,"IBS_before","NMDS"
"J_XYL_F_0058_02",-0.122184014489878,0.0825453228728735,"IBS_after","NMDS"
"J_XYL_F_0059_01",0.195513508117158,-0.214910389249628,"IBS_before","NMDS"
"J_XYL_F_0059_02",0.271201699007102,0.115263320879389,"IBS_after","NMDS"
"J_XYL_F_0060_01",-0.304188090854445,-0.212476183869748,"IBS_before","NMDS"
